id;class;avg;sentence;particle;verb;all;objcase;objanimacy;objabs;subjcase;subjabs;nounsabs;subjanimacy;casegovernment
574;literal;1,33;'tema ise peksma läbi kolm aasta tagasi';läbi;peksma;3,49;nom;yes;3,27;nosubj;0;3,56;0;0
575;literal;1,33;'nooruk peksma tema julmalt läbi ja süütama korter';läbi;peksma;3,99;gen;yes;3,27;nom;6,19;7,29;yes;0
576;literal;1,33;'kui linnalaps saatma maa või maalaps linn tekkima kohalik laps esimene vajadus tema läbi peksma';läbi;peksma;3,98;nom;yes;3,27;nosubj;0;5,79;0;0
577;literal;1,33;'staabihoone verine diivan jääma lamama rängalt läbi pekstud 62aastane kaitseliitlane valvur';läbi;peksma;5,08;noobj;0;0;nosubj;0;7,17;yes;0
578;literal;1,33;'kord peksma lauri koguni metsikult läbi';läbi;peksma;3,6;nom;yes;7,81;nosubj;0;7,81;0;0
579;literal;1,33;'läbinisti positiivne ja tark jack peksma läbi kõik läbinisti paha ja rumal';läbi;peksma;2,59;nom;yes;0;nom;6,47;6,47;yes;0
580;literal;1,33;'ärimees nevski ütlema et tema olema ähvardatud ja ajakiri vastane olema tema läbi peksma';läbi;peksma;3,4;gen;yes;3,27;nom;3,22;5,5;yes;0
581;literal;1,33;'või siis peksma läbi';läbi;peksma;3,73;noobj;0;0;nosubj;0;0;0;0
582;literal;1,33;'ekspeditsioon ülesanne olema läbi uurima ja kaardistama tulevane põhja meretee';läbi;uurima;3,03;nom;no;6,21;nosubj;0;4,71;0;0
583;literal;2;'tema kott uurima lennuväli läbi';läbi;uurima;4,53;nom;no;8,17;nosubj;0;8,16;0;0
584;literal;1,33;'detailsemalt olema läbi uuritud nelja- ja viiekümnendad aasta';läbi;uurima;2,74;nom;no;3,56;nosubj;0;3,56;0;0
585;literal;1,67;'siilats arvama ei jõudma mäss ise kogu merepõhi läbi uurima';läbi;uurima;3,38;part;no;7,93;nom;2,2;5,81;yes;0
586;literal;2;'angelika olema viimane kroonika kõik läbi uurima ja rääkima ämm missugune pidama olema kleit';läbi;uurima;3,24;nom;no;4,74;nom;6,51;6,81;yes;0
587;literal;1,67;'erinevalt aasta algus olema seekord pank põhjalikult läbi uurima';läbi;uurima;2,2;nom;no;6,52;nosubj;0;4,12;0;0
588;literal;1,67;'sanders olema uuesti läbi uurima rida vana tekst';läbi;uurima;3,68;gen;no;8,34;nom;6,05;6,86;yes;0
589;literal;1,67;'jean ütlema et kõik sooviavaldus katsetus tegemine uurima hoolikalt läbi';läbi;uurima;2,6;nom;no;3,45;nosubj;0;3,64;0;0
590;literal;1,67;'pusch kolleeg uurima 150 jalgapllistaadion suurus maa-ala kuni viis meeter sügavus läbi tseesium-magnetomeeter';läbi;uurima;4,55;gen;no;4,61;nom;6,97;5,46;yes;0
591;non-literal;3,67;'naine kaja olema läbi kaaluma ka must stsenaarium';läbi;kaaluma;3,6;nom;no;2,79;nom;5,74;4,75;yes;0
592;non-literal;3,67;'kaaluma läbi poolt ja vastuargument ning punkt kaupa rida seadma';läbi;kaaluma;2,69;nom;no;1,31;nosubj;0;4,38;0;0
593;non-literal;3,67;'et suvi lõpp rahakott tuul ei vilistama tasuma materiaalne võimalus kindlasti läbi kaaluma';läbi;kaaluma;2,93;nom;no;1,01;nosubj;0;4,58;0;0
594;non-literal;3,67;'õigupoolest tahtma harakas see vargus kõik moraalne asjaolu ja ebaõnnestumine võimalik tagajärg enne tegu põhjalikult läbi kaaluma';läbi;kaaluma;2,03;nom;no;1,71;nom;7,37;2,96;yes;0
595;non-literal;3,67;'järelikult olema aven kõik hoolikalt läbi kaaluma ja valmis riskima';läbi;kaaluma;1,76;nom;no;2,09;nom;3,88;3,88;yes;0
596;non-literal;3,67;'olema kõik sõna täpselt läbi kaaluma mitte taotlema kirju põnevus';läbi;kaaluma;2;nom;no;4,24;nom;1,91;2,97;yes;0
597;non-literal;3,67;'ja et iga samm olema mõte pikalt ja põhjalikult läbi kaaluma et pidama tegutsema ka spontaanselt';läbi;kaaluma;1,9;part;no;5,59;nosubj;0;3,43;0;0
598;non-literal;3,33;'uus omanik on töötaja lahtilaskmine hoolikalt läbi kaaluma ja ette valmistama';läbi;kaaluma;2,82;gen;no;2,87;nom;6,41;5,23;yes;0
599;non-literal;3,67;'just tema võima olema see kõige objektiivsem ajalookäsitus kõrgelt nägema ja riigivisiit vaheaeg mererand läbi kaaluma';läbi;kaaluma;2,5;noobj;0;0;nom;1,58;4,47;no;0
610;literal;1;'tema olema see pool maailm läbi lendama';läbi;lendama;4,34;noobj;0;0;nom;3,27;7,19;yes;0
612;literal;0,33;'lennujaam valgustama nüüd läbi ka kõik lennureis linn suunduma inimene pagas';läbi;valgustama;4,65;nom;no;7,45;nosubj;0;7,23;0;0
613;literal;0,33;'mina ju ei saama see röntgenkiir läbi valgustama';läbi;valgustama;2,19;part;no;2,13;nom;1,91;6,43;yes;0
614;non-literal;4,33;'etendus käigus valgustama läbi ka kare kuluma idee';läbi;valgustama;3,22;nom;no;2,78;nosubj;0;4,71;yes;0
615;non-literal;4,33;'festival idee olema läbi valgustama erinev maa rahvusvähemus probleem';läbi;valgustama;2,99;part;no;2,19;nosubj;0;3,98;0;0
616;literal;0,33;'tülikas küsimus ei esitama kuid kaasasolev kott valgustama läbi';läbi;valgustama;2,58;nom;no;8,17;nosubj;0;5,35;0;0
618;literal;0,33;'väljumine viibima 45 minut sest turvateenistus olema veel 100 kohver läbi valgustama';läbi;valgustama;3,64;part;no;8,22;nosubj;0;6,13;0;0
619;literal;0;'aga mina olema paber et vesi sadama läbi';läbi;sadama;3,97;noobj;0;0;nom;8,26;8,7;no;0
620;literal;0;'katus olema halb seisukord ja tõenäoliselt sadama mitu koht läbi';läbi;sadama;3,31;noobj;0;0;nosubj;0;5,02;0;0
622;literal;0;'juba esimene vihm sadama katus rahulikult läbi';läbi;sadama;4,27;noobj;0;0;nom;7,82;8,07;no;0
623;literal;0;'öösel ikka jälle läbi sadama';läbi;sadama;3,71;noobj;0;0;nosubj;0;0;0;0
624;literal;0;'ka mina sadas läbi kui me neljas korruss peale ehitama';läbi;sadama;3,79;noobj;0;0;nosubj;0;8,29;0;0
625;non-literal;4;'laenatud varustus kippuma aga ülikiiresti läbi kuluma';läbi;kuluma;2,46;noobj;0;0;nom;5,7;5,7;no;0
626;non-literal;4,33;'enamasti olema kõik nõus ja tüdruk kuluma kiiresti läbi';läbi;kuluma;2,11;noobj;0;0;nom;7,36;7,36;yes;0
627;non-literal;4,33;'esimene paar kuluma läbi ikka see pidev perekonnavalss kolmas päev';läbi;kuluma;3,55;noobj;0;0;nom;6,53;5,91;no;0
628;non-literal;4,33;'peagi on vene-aegne arstimasin läbi kuluma ja maja nagu vana lääpa-tallatud king';läbi;kuluma;3,67;noobj;0;0;nom;0;8,61;no;0
629;non-literal;4;'pealegi näitama kogemus et plastmass ja roostevaba tersas hari kuluma läbi juba mõni nädal';läbi;kuluma;3,58;noobj;0;0;nom;8,12;6,03;no;0
630;non-literal;3,67;'see tundma võima pinge kuhjuma närv läbi kuluma';läbi;kuluma;2,44;noobj;0;0;nom;5,03;3,33;no;0
631;non-literal;5;'või kuluma see tema pea läbi';läbi;kuluma;3,92;noobj;0;0;nom;2,13;8,42;no;0
632;literal;1,33;'riigiametnik ei saama tegema otsus kui kiiresti mina põlevkivi läbi põletama';läbi;põletama;2,9;gen;no;7,37;nom;1,91;5,4;yes;0
633;non-literal;5;'kodumäng vastutus põletama läbi';läbi;põletama;3,54;noobj;0;0;nom;0,9;3,72;no;0
634;non-literal;5;'noor põletama ise läbi sest tahtma liiga palju';läbi;põletama;2,47;part;yes;1,58;nom;1,91;0;yes;0
635;literal;1;'üks punkt fokusseerima päikesekiir võima läbi põletama isegi lnbd tuuner ühendav koaksiaalkaabel';läbi;põletama;4,1;gen;no;0;nom;7,91;6,81;no;0
636;non-literal;5;'saade eelnema kooskõlastamiskoosolek pikk vestlus juhtkond ning press kuumutama kirg olema ilmselt temperamentne saatejuht kergelt läbi põletama';läbi;põletama;3,1;gen;yes;7,4;nom;3,29;3,96;no;0
637;non-literal;5;'üks ala arendama organiseeritult ja läbimõeldult teine olema lihtsalt läbi põletama';läbi;põletama;2,82;nom;no;4,49;nosubj;0;4,87;0;0
639;non-literal;5;'soorituskeskne elulaad põletama eesti mees kiiresti läbi';läbi;põletama;3,19;nom;yes;7,31;nom;1,42;4,87;yes;0
640;literal;1,67;'avastus põnevil ruttama meeskond tagasi et läbi tuhnima akadeemiline allikas';läbi;tuhnima;2,74;nom;no;4,21;nom;6,08;4,35;no;0
641;literal;1,67;'raamaturiiul tuhnima uuesti läbi';läbi;tuhnima;3,65;nom;no;8,71;nosubj;0;8,71;0;0
642;literal;1,67;'tuhnima rida-rida läbi sada mobiiltelefon kõneeristus lehekülg';läbi;tuhnima;5,18;gen;no;8,37;nom;1,91;7,8;yes;0
643;literal;1,67;'korter olema läbi tuhnima ilmselt olema sealt miski otsima';läbi;tuhnima;2,16;nom;no;8,4;nosubj;0;8,4;0;0
644;literal;1,67;'nägema selgelt kuidas sina postkast uuesti avana ja iga viimane kui nurgake läbi tuhnima';läbi;tuhnima;2,71;gen;no;6,99;nom;3,02;7,67;yes;0
645;literal;1,67;'sina jooksma linn peale röövima ajaleheputka tuhnima leht sealsamas läbi ja loopima pettunult laiali';läbi;tuhnima;4,4;nom;no;7,94;nom;3,02;7,84;yes;0
646;non-literal;4,67;'vene filmikunst võima mõni aeg mööduma täielikult välja surema kui ei viima läbi ümberkorraldus';läbi;viima;2,48;part;no;2,31;nosubj;0;3,47;0;0
647;non-literal;4,67;'selline suurejooneline ehitis suutma läbi viima vaid rikas pank ja kindlustusselts';läbi;viima;2,64;part;no;6,34;nom;6,52;5,73;no;0
649;non-literal;4,67;'kohalik omavalitsus vahetumine olema nii uus ja kuum teema et ajendama mina koos kursusekaaslane läbi viima omalaadne katse';läbi;viima;2,89;part;no;4,83;nosubj;0;4,24;0;0
650;non-literal;4,67;'see organisatsioon olema iga maja oma majavanem kes viima läbi propaganda';läbi;viima;3,07;part;no;2,1;nom;1,42;5,37;yes;0
651;non-literal;4,67;'olema näitlema lavastama korraldama juhtima ja läbi viima igasugune asi';läbi;viima;2,65;part;no;3,59;nom;1,91;3,59;yes;0
652;non-literal;4,67;'moller international tutvustama äsja esimene lendauto terviklahendus mis viima läbi ametlik katsetus';läbi;viima;2,87;nom;no;3,66;nosubj;0;4,35;0;0
653;non-literal;4,67;'vajadus kõik etapp ise läbi viima tekitama aga hoopis ajapuudus';läbi;viima;2,07;nom;no;5,01;nosubj;0;2,63;0;0
654;non-literal;4,67;'varasuvi vahistama politsei marko laimre kes harju mägi parasjagu olema läbi viima taies';läbi;viima;4,23;part;no;7,25;nom;1,42;6,34;0;0
666;non-literal;4;'ent tema olema pidama tähtsam toimetus sund sportimistahe maha suruma';maha;suruma;2,96;part;no;1,24;nom;3,27;7,1;yes;0
667;non-literal;4;'tablett suruma maha rasedus vajalik hormoon progesteroon';maha;suruma;5,09;part;no;5,88;nom;7,33;6,27;no;0
668;literal;0;'holland turniir suruma tema lausa jõud kõik konkurent maha';maha;suruma;3,62;nom;yes;2,84;nom;3,27;3,98;yes;0
669;non-literal;4,33;'peruu armee suruma maha 50 sõjaväelane mäss ning vahistama see enamus';maha;suruma;4,55;gen;no;2,2;nom;7,54;5,45;yes;0
670;non-literal;3,67;'sellal kui õde oma peigmees armatsema suruma vaene violet nuukse maha';maha;suruma;4,7;part;no;4,05;nom;5,92;6,09;yes;0
671;non-literal;4;'võitja tunnistama jahimees kes suutma üha uus vahva loom nägema tulistamissoov maha suruma';maha;suruma;3,14;part;no;0;nom;1,42;5,54;yes;0
672;non-literal;4;'mõni suutma oma isiklik mina maha suruma esikoht seadma suurem ajalooline ülesanne';maha;suruma;2,5;part;yes;1,91;nosubj;0;2,34;0;0
673;non-literal;3,67;'euroopa võtma eeskuju ameerika ühendriik profisport kus meediatööstus olema tugevalt jalg maha suruma';maha;suruma;3,33;gen;no;7,49;nom;1,42;3,82;no;0
674;non-literal;4;'suur penetraator olema aga mitte lihtsalt bioloogiline mees vaid reklaam mis isiksus maha suruma see alandama ja orjastama';maha;suruma;2,55;gen;no;1,87;nom;4;4,39;no;0
675;non-literal;4;'leheomanik käituma ratsionaalne ja suruma oma ego maha';maha;suruma;2,4;gen;no;1,35;nom;2,75;2,05;yes;0
676;non-literal;4;'ameerika president pidama moodustama rahvusvaheline koalitsioon kes asuma ülemaailmne terrorism maha suruma';maha;suruma;3,32;part;no;2,62;nom;1,42;4,39;yes;0
677;literal;1,33;'öö vastu teisipäev põlema tartu maha aavo pikkuus kauplusladu aadress kroonuaia 70';maha;põlema;5,72;noobj;0;0;nom;8,09;6,25;no;0
678;literal;1,33;'tuli olema juba hävima 9700 hektar mets ja võsa maha olema põlema vähemalt kümme elamu';maha;põlema;4,67;noobj;0;0;nom;7,29;7,49;no;0
679;literal;1,33;'neljapäev hommik lahvatama saaremaa leek viielapseline pere elamu ja põlema säraküünal maa maha';maha;põlema;5,91;noobj;0;0;nom;7,29;6,32;no;0
680;literal;1,33;'maja olukord kohta ütlema mina tema olema võima lihtsalt maha põlema';maha;põlema;3,54;noobj;0;0;nom;3,27;3,91;no;0
681;literal;1,33;'tema tulema meel ainult üks kaks aasta tagune juhtum kus auto põlema maha paldiski maantee';maha;põlema;4,36;noobj;0;0;nom;9,8;4,8;no;0
682;literal;1,33;'see sajand avalöök toimuma 1901 aasta mil inimohver tulekahju põlema maha kollane ahv';maha;põlema;4,7;noobj;0;0;nom;8,62;4,8;no;0
683;literal;1,33;'kaks kuu pärast plahvatus poes lasti õhku ja põlema plahvatus tagajärg maha ka tema vana tüüp mercedes';maha;põlema;4,83;noobj;0;0;nom;7,76;5,69;no;0
684;literal;1,33;'petseri põlema maha tervelt 212 maja mis olema kolmandik linn hoone';maha;põlema;4,76;noobj;0;0;nom;8,81;7,31;no;0
685;literal;1,33;'juuli algus põlema osa BMW tehas maa maha';maha;põlema;5,18;noobj;0;0;nom;1,9;4,93;no;0
686;non-literal;3,67;'ainuüksi nõukogu päritolu tõmbama hind mitu protsent maha';maha;tõmbama;3,48;nom;no;2,9;nom;1,59;3,43;no;0
689;literal;1,33;'rootslane tõmbama oma puitagul maha ja nüüd tulema siia manitsema et ära sina lammutama';maha;tõmbama;2,74;nom;no;0;nom;6,6;6,6;yes;0
691;non-literal;3,67;'no ja kui perenaine hirmus jutu peale juba minestama hakkama tõmbama sulane hoog maha';maha;tõmbama;3,26;gen;no;4,29;nom;7,19;5,49;yes;0
692;non-literal;4;'tema vaatama läbi mingi dokument ja tõmbama aeg-ajalt punane pliiats miski maha';maha;tõmbama;3,8;part;no;1,41;nom;3,27;7,93;yes;0
693;non-literal;3,67;'seis olema ikka nii hull et hakkama palk maha tõmbama';maha;tõmbama;2,24;part;no;3,09;nom;1,91;2,53;yes;0
694;literal;1,67;'idapool tõmmati 1960s aasta lustgarten vastas maha hohenzollern kuningapalee vare ja ehitama asemele suur palast der republik';maha;tõmbama;4,18;nom;no;7,71;nosubj;0;5,36;0;0
695;non-literal;4,33;'kuukaart tulema kulu kohe maha tõmbama';maha;tõmbama;4,07;nom;no;7,79;nosubj;0;5,42;0;0
696;non-literal;4,67;'tegelikult lubama wimps oma homovastane sõna maha tõmbama';maha;tõmbama;3,09;gen;no;4,24;nom;0;4,24;yes;0
697;literal;1;'206cc ümber korraldama kõva tants ja trall ning lõpuks tõmbama maha ka pisike sportauto kattev lina';maha;tõmbama;3,96;nom;no;8,24;nosubj;0;6,48;0;0
699;non-literal;4;'esimene osa tegema ka paar näpuviga ja see minema oma paarkümmend punkt maha';maha;minema;3,28;noobj;0;0;nom;5,65;3,81;no;0
701;literal;1;'ka dušš all käima tema nii et tilk vett maha ei minema';maha;minema;4,19;noobj;0;0;part;8,26;7,63;no;0
702;literal;1;'direktor lööma käsi nii et kohv loksuma aga maha ka ei minema';maha;minema;4,4;noobj;0;0;nosubj;0;7,7;0;0
707;literal;2;'järgmine peatus minema kaks naine maha kuid vanamees ei tundma vaba iste vastu enam huvi';maha;minema;3,83;noobj;0;0;nom;7,5;7,45;yes;0
708;non-literal;3,67;'kuusk minema kõik maha';maha;minema;5,2;noobj;0;0;nom;9,31;9,31;no;0
709;literal;1;'sattuma a-klass läbima pikk 180kraadime kurv kuhu olema ilmselt õli maha minema';maha;minema;3,99;noobj;0;0;part;8,18;7,24;no;0
710;non-literal;4,33;'kõik uustulnuk saatma saun juus ajama maha';maha;ajama;5,14;nom;no;9,12;nosubj;0;6,92;0;0
711;non-literal;3,33;'püüton ajama oma nahk kevad maha';maha;ajama;5,62;gen;no;7,54;nom;8,75;7,27;yes;0
712;literal;1,33;'imre ajama maha kümme takistus';maha;ajama;5,12;nom;no;2,02;nom;6,76;4,39;yes;0
714;literal;1,33;'kui peedisupp maha kukkuma võtma supp näpujälg et selgitama kes supp maha ajama';maha;ajama;4,87;gen;no;8,05;nom;1,42;8,21;yes;0
715;non-literal;3,67;'enden leidma et ainus olema pintsak maha ja mänguvorm selg ajama';maha;ajama;4,34;nom;no;8,37;nosubj;0;7,46;yes;0
716;non-literal;3,67;'fui-fui karjuma rahvas hulgast kui paks elatanud rektor püksijäänus maha ajama';maha;ajama;4,67;nom;no;0;nom;6,94;6,75;yes;0
717;non-literal;3,67;'teet olema pintsak maha ajama';maha;ajama;5,06;gen;no;8,37;nom;5,38;6,88;yes;0
718;non-literal;4;'tema olema nii vaht et kasvama tema habe võima see sisselõige kartma vabalt maha ajama';maha;ajama;3,31;gen;no;2,13;nosubj;0;7,28;0;0
719;non-literal;4,67;'mulle meeldima väikelinn lihtne elu kus kõik kõik tundma ning hommikuti pood pikk jutt maha ajama';maha;ajama;3,3;nom;no;3,29;nosubj;0;5,05;0;0
721;non-literal;4,33;'viima õpetamata mullikas küngas ajama sabakarv maha ja saba määrima õli';maha;ajama;5,16;nom;no;0;nosubj;0;7,97;0;0
722;literal;1,33;'debüüt ajama aga viimane katse tõke maha';maha;ajama;3,95;gen;no;7,16;nom;3,27;4,72;yes;0
724;literal;1,33;'inimene olema lihtsalt ise liiga suured eesmärgid püstitanud lati maha ajama ega suuda enam korralikult jalule tõusma';maha;ajama;2,99;gen;no;7,41;nom;6,18;4,98;yes;0
725;non-literal;4,67;'90s algul hakkama eesti muusikaelu elavnema kuid praegune olema see hoog ikka totaalselt maha käima';maha;käima;2,72;noobj;0;0;nom;4,29;3,87;no;0
726;non-literal;4,67;'partei vedru olema aga mõni aasta lootusetult maha käima';maha;käima;3,27;noobj;0;0;nom;7,01;5,05;no;0
728;non-literal;4,67;'eestlus vana jakobsonlik ugrikuub olema maha käima';maha;käima;3,27;noobj;0;0;nom;1,9;1,9;no;0
729;non-literal;4,67;'kaks aasta veedama meri küll suurepäraselt välja siis aga hakkama maha käima';maha;käima;3,43;noobj;0;0;nom;3,27;6,02;yes;0
730;non-literal;4,67;'kui see pidevalt iga päev sisse lülitama siis käima see lõpuks maha ega lülituma enam sisse';maha;käima;2,64;noobj;0;0;nom;2,13;5,87;no;0
731;non-literal;4,67;'aga kui saama ainult seitse tund magama siis hakkan maha käima';maha;käima;3,14;noobj;0;0;nom;1,91;4,14;yes;0
732;non-literal;4,67;'2000 aasta algul tähelend sooritama eda-ines etti muusikaline kuvand käis maha';maha;käima;3,74;noobj;0;0;nom;2,08;3,9;no;0
733;non-literal;4,67;'mullu aprill tapma venelane siin üks välikohvik kunagine tuntud laulja igor beloziri kes olema see aeg juba maha käima';maha;käima;3,62;noobj;0;0;nom;1,42;5,58;yes;0
766;non-literal;5;'ent päike ei paistma kogu aeg ning esimene rõõm jahtuma plaadi edenema veidi maha';maha;jahtuma;3,35;noobj;0;0;nom;1,28;5,79;no;0
767;non-literal;5;'usa kinnisvaraturg hakkama dramaatiliselt maha jahtuma aastane langus olema ligi 10%';maha;jahtuma;3,08;noobj;0;0;nom;3,92;3,67;no;0
769;non-literal;5;'lõpetama mänguline interaktiivsus mis ei laskma vaataja hetk maha jahtuma';maha;jahtuma;3,13;noobj;0;0;nom;1,87;3,56;no;0
770;non-literal;5;'aga kui maha jahtuma soostuma et teine võima hea mõte olema';maha;jahtuma;2,13;noobj;0;0;nom;3,27;1,27;yes;0
771;non-literal;5;'mina olema just tunduma et olete oma sõnavõtt maha jahtuma';maha;jahtuma;2,26;noobj;0;0;nom;3,02;2,63;yes;0
774;literal;1,66;'kõik arvama käima mina kroon pea ja talaar selg mööda oma kuulsusrikas maavaldus ning kõmmutama aeg-ajalt mõni talupoeg maha';maha;kõmmutama;4,31;gen;yes;6,92;nom;1,91;7,73;yes;0
775;literal;1,66;'tema on valmis üksteise kõri läbi närima üksteise maha kõmmutama';maha;kõmmutama;3,62;part;yes;1,3;nom;3,27;8,72;yes;0
776;literal;1,66;'kaitsepolitsei kõmmutama inimene maha';maha;kõmmutama;5,48;part;yes;6,18;nom;4,42;5,3;yes;0
777;non-literal;3,67;'nüüd on olukord muutuma kuid see ei kustutama maha juba toimunu';maha;kustutama;1,89;part;no;1,97;nom;2,13;1,93;no;0
783;non-literal;3,67;'tohutu viivis kustutama maha parandame bilanss kuigi bilanss ei olema kaugeltki normaalne';maha;kustutama;2,43;nom;no;3,5;nom;1,91;3,55;yes;0
787;literal;2;'nüüd on inimene toimuma seedima ja maha rahunema';maha;rahunema;2,86;noobj;0;0;nom;6,18;6,18;yes;0
788;literal;2;'sarnaselt aktsiaturg olema ka optsiooniturg maha rahunema';maha;rahunema;2,99;noobj;0;0;nom;1,81;4,01;no;0
789;literal;2;'rääkima nii kompanii ülem kui poiss see kohustus poiss rahunema maha ja nõustuma et tema ei minema jooks';maha;rahunema;3,54;noobj;0;0;nom;7,25;6;yes;0
791;literal;2;'hiljem rahunema kõik maha poiss minema magama';maha;rahunema;4,16;noobj;0;0;nom;2,09;7,25;yes;0
792;literal;2;'käskima mina suhkruvesi jooma ja maha rahunema';maha;rahunema;3,9;noobj;0;0;nosubj;0;7,76;0;0
793;literal;2;'enamasti olema kartus asjatu sest harlem on maha rahunema';maha;rahunema;2,22;noobj;0;0;nom;7,11;4,07;yes;0
794;literal;2;'lugema raamat kaas läbi ja venekeelne skeem uurima rahunema lõpuks maha';maha;rahunema;4,09;noobj;0;0;nom;1,91;6,84;yes;0
795;literal;2;'pigem võima vabalt ootama kuni laps abielu on pisut maha rahunema';maha;rahunema;2,4;noobj;0;0;nom;2,79;5,2;no;0
796;non-literal;4,33;'uus nädal keskel tulema tempo maha võtma ja väga põhjalikult kaaluma iga oma samm';maha;võtma;2,91;nom;no;3,96;nosubj;0;4,77;0;0
797;non-literal;4,33;'võtma kaal maha 23 kg';maha;võtma;4,62;part;no;5,47;nom;3,27;6,07;yes;0
798;non-literal;4,33;'mingi märk mässav identiteedimuutus seal ei avastama küll aga nägema seal soov pinge maha võtma ise ja oma kunst';maha;võtma;2,33;part;no;1,63;nosubj;0;3,22;0;0
799;literal;1;'kui ei katma võtma pärg maha ja tõmbama vana trussikud üles';maha;võtma;4,11;nom;no;8,39;nosubj;0;7,61;0;0
804;literal;1;'õhtuti olema karje kuulnud aga appi minema olema politsei käima niikuinii sageli mööda';mööda;käima;2,99;noobj;0;0;nom;7,39;4,84;yes;0
824;non-literal;4,33;'korrutama kurss läbi ja panema juurdehindlus ning käibemaks otsa';otsa;panema;2,71;gen;no;3,38;nom;1,91;3,06;yes;0
825;non-literal;4,33;'kui õige aeg tagasi ei tulema võtma politsei kinni ning kohus panema karistusaeg otsa';otsa;panema;3,14;part;no;3,85;nom;2,22;4,23;no;0
826;literal;0,67;'tema koputama süstlaots veri välja ja panema nõel uuesti otsa';otsa;panema;4,39;gen;no;8,78;nom;3,27;8,62;yes;0
828;non-literal;4,67;'loogika olema selline asi käik puhul suur miski peale hakkama';peale;hakkama;2,19;part;no;1,41;nosubj;0;3,82;0;0
830;non-literal;5;'aga kunstpäike ei hakkama peale';peale;hakkama;2,62;noobj;0;0;nom;7,78;7,78;no;0
831;non-literal;4,33;'suvi kui seal üritus peale hakkama olema ootama palju avaldus';peale;hakkama;2,26;noobj;0;0;nom;3,42;3,92;no;0
834;non-literal;4,33;'sel aeg kui sina alles vaatama kus kaamera seisma ütlema steven hea küll hakkama peale';peale;hakkama;3,05;noobj;0;0;nom;1,91;5,85;yes;0
835;non-literal;4,67;'hakkama õhtu peale';peale;hakkama;2,67;noobj;0;0;nom;1,91;5,01;yes;0
837;non-literal;4;'see peale poliitik hammas ei hakkama';peale;hakkama;3,75;noobj;0;0;nom;8,91;7,75;no;0
839;non-literal;4,67;'juba praegu tungima jõuliselt peale alternatiivkütus eelkõige maagaas ja kivisüsi';peale;tungima;3,26;noobj;0;0;nom;5,43;6,84;no;0
841;non-literal;3,33;'vesi see ei kõlbama piirimäe sõna jooma sest emajõgi tungima peale';peale;tungima;4,19;noobj;0;0;nom;8,17;6,97;no;0
842;non-literal;3,67;'aga see ei õnnestuma nii tungima peale et hirmus';peale;tungima;2,13;noobj;0;0;nosubj;0;2,13;0;0
843;non-literal;4,67;'väliskapital tungima peale ja eesti riik soosima see';peale;tungima;2,84;noobj;0;0;nom;4,26;3,44;no;0
844;non-literal;4,33;'mets puu vahel saama ehk juba kanuu slaalom sõitma kuid hämarus tungima peale';peale;tungima;4,18;noobj;0;0;nom;2,51;6,66;no;0
845;non-literal;4,33;'venemaa tungima peale odavam puit';peale;tungima;3,89;noobj;0;0;nom;7,98;5,45;no;0
846;non-literal;4,33;'infotehnoloogia tungima nii kiiresti peale et raamat arve võtmine ja laenutamine olema arvutitöö väga raske';peale;tungima;2,63;noobj;0;0;nom;3,81;4,51;no;0
847;non-literal;3;'võõras peamiselt ameerika massikultuur tungima võimsalt peale';peale;tungima;2,34;noobj;0;0;nom;1,42;2,84;no;0
848;non-literal;4;'bandiit tungima peale ja püüdma mina haarama mis tema osaliselt õnnestuma';peale;tungima;2,55;noobj;0;0;nom;6,89;6,89;yes;0
853;non-literal;5;'minu mees käima peale et tegema mina ikka miski nägema tema kandideerima nüüd kesklinn vanem';peale;käima;2,93;noobj;0;0;nom;7,31;6,44;yes;0
855;non-literal;3,67;'iga kord olema maru miski ära lõhkuma ja ots puruks rebima kuid seekord käima tuul otse peale ja sai kai jagu';peale;käima;3,02;noobj;0;0;nom;6,8;6,47;no;0
858;non-literal;3,67;'edelatuul tooma jää sisse otselaine käima peale';peale;käima;4,07;noobj;0;0;nom;0;6,8;no;0
872;non-literal;4;'siit saama relv olema sisse laskma ja seetõttu olema tema sihik paik ära';sisse;laskma;3,11;noobj;0;0;nom;8,2;6,58;no;0
873;literal;1;'vjatsheslav vladimir ja albert sõitma haapsalu holmi neem tipp mere võrk sisse laskma';sisse;laskma;5,3;part;no;4,85;nom;5,5;6,13;yes;0
874;literal;0,33;'huvitav aga mina ei julgema tema sisse laskma';sisse;laskma;2,03;part;yes;3,27;nom;1,91;0;yes;0
876;literal;0,33;'mina minema hästi enne mina olema kümme inimene ja siis laskma kohe kümme järgmine ka sisse';sisse;laskma;2,86;nom;yes;6,18;nosubj;0;6,18;0;0
877;literal;1;'looduskaitsja sõna  ei saama kalur lind nägema sest käima meri luba võrk sisse laskma põhiliselt pime aeg';sisse;laskma;4,15;part;no;4,85;nom;3,27;6,51;yes;0
878;literal;0,33;'sisse anita mina muidugi ei laskma';sisse;laskma;2,58;part;yes;1,91;nom;5,44;5,44;yes;0
880;literal;0,33;'must kutt olema steve sisse laskma';sisse;laskma;3,98;part;yes;6,05;nom;4,96;5,5;yes;0
881;non-literal;3,67;'hoidma majapidamine korras küpsetama pliin käima mets mari ja tegema puravik ja küüslauk sisse';sisse;tegema;5,15;part;no;8,53;nom;3,27;7,25;yes;0
